cancer_study_id	name	description
1	paac_jhu_2014	Acinar Cell Carcinoma of the Pancreas (JHU, J Pathol 2014)	Whole exome sequencing of 23 surgically resected pancreatic carcinomas with acinar differentiation and their matched normals.
2	mel_tsam_liang_2017	Acral Melanoma (TGEN, Genome Res 2017)	Whole exome sequencing and transcriptome analysis of 34 Acral Melanoma patients (33 with matched normals).
3	all_stjude_2015	Acute Lymphoblastic Leukemia (St Jude, Nat Genet 2015)	Comprehensive profiling of infant MLL-rearranged acute lymphoblastic leukemia (MLL-R ALL)
4	all_stjude_2016	Acute Lymphoblastic Leukemia (St Jude, Nat Genet 2016)	Whole-genome and/or whole-exome sequencing of ERG-altered B-ALL tumor/normal pairs.
5	aml_ohsu_2018	Acute Myeloid Leukemia (OHSU, Nature 2018)	Whole-exome sequencing of 672 acute myeloid leukemia samples (with 454 matched normals) from the Beat AML program.
6	laml_tcga_pub	Acute Myeloid Leukemia (TCGA, NEJM 2013)	Whole-genome or whole-exome sequencing analysis of 200 adult de novo AML tumor/normal pairs. TCGA Acute Myeloid Leukemia Project; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=LAML&diseaseName=Acute%20Myeloid%20Leukemia">NCI</A>.
7	laml_tcga_pan_can_atlas_2018	Acute Myeloid Leukemia (TCGA, PanCancer Atlas)	Acute Myeloid Leukemia TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
8	laml_tcga	Acute Myeloid Leukemia (TCGA, Provisional)	TCGA Acute Myeloid Leukemia; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/LAML/20160128/gdac.broadinstitute.org_LAML.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
9	mnm_washu_2016	Acute myeloid leukemia or myelodysplastic syndromes (WashU, 2016)	Enhanced exome or targeted sequencing of 116 acute myeloid leukemia (AML) or myelodysplastic syndromes (MDS) patients' tumor/normal pairs .
10	acyc_fmi_2014	Adenoid Cystic Carcinoma (FMI, Am J Surg Pathl. 2014)	Comprehensive genomic profiling of 28 metastatic ACCs.
11	acyc_jhu_2016	Adenoid Cystic Carcinoma (JHU, Cancer Prev Res 2016)	Whole-genome or whole-exome sequencing of 25 adenoid cystic carcinoma tumor/normal pairs.
12	acyc_mda_2015	Adenoid Cystic Carcinoma (MDA, Clin Cancer Res 2015)	WGS of 21 salivary ACCs and targeted molecular analyses of a validation set (81 patients).
13	acyc_mgh_2016	Adenoid Cystic Carcinoma (MGH, Nat Gen 2016)	Genomic profiling of 10 ACC PDX models.
14	acyc_mskcc_2013	Adenoid Cystic Carcinoma (MSKCC, Nat Genet 2013)	Whole-exome or whole-genome sequencing analysis of 60 ACC tumor/normal pairs
15	acyc_sanger_2013	Adenoid Cystic Carcinoma (Sanger/MDA, JCI 2013)	Whole exome sequencing of 24 ACCs.
16	acbc_mskcc_2015	Adenoid Cystic Carcinoma of the Breast (MSKCC, J Pathol. 2015)	Whole exome sequencing of 12 breast AdCCs.
17	acc_tcga_pan_can_atlas_2018	Adrenocortical Carcinoma (TCGA, PanCancer Atlas)	Adrenocortical Carcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
18	acc_tcga	Adrenocortical Carcinoma (TCGA, Provisional)	TCGA Adrenocortical Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <A HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/ACC/20160128/gdac.broadinstitute.org_ACC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
19	sarc_tcga_pub	Adult Soft Tissue Sarcomas (TCGA, Cell 2017)	Mutation data from whole exome sequencing of 206 Adult Soft Tissue Sarcomas with paired normals.
20	ampca_bcm_2016	Ampullary Carcinoma (Baylor College of Medicine, Cell Reports 2016)	Exome sequencing analysis of 160 cancers arising in the periampullary region, 62 of these clearly arising from either the bile duct (n = 44) or the duodenum (n = 18) and 98 for which the epithelium of origin could not be clearly defined morphologically (AMPCA).
21	odg_msk_2017	Anaplastic Oligodendroglioma and Anaplastic Oligoastrocytoma (MSKCC, Neuro Oncol 2017)	Genomic characterization using next generation sequencing (NGS) in 22 Anaplastic Oligodendroglioma and Anaplastic Oligoastrocytomas.
22	bcc_unige_2016	Basal Cell Carcinoma (UNIGE, Nat Genet 2016)	Whole-exome sequencing of 126 basal cell carcinoma tumor/normal pairs; targeted sequencing of 163 sporadic samples (40 tumor/normal pairs) and 4 Gorlin symdrome basal cell carcinomas.
23	blca_mskcc_solit_2014	Bladder Cancer (MSKCC, Eur Urol 2014)	Genomic Predictors of Survival in Patients with High-grade Urothelial Carcinoma of the Bladder. Targeted sequencing of 109 tumor samples (MSKCC, European Urology 2014).
24	blca_mskcc_solit_2012	Bladder Cancer (MSKCC, J Clin Onco 2013)	Comprehensive profiling of 97 high-grade bladder tumors, including targeted sequencing of 15 cancer genes
25	blca_plasmacytoid_mskcc_2016	Bladder Cancer (MSKCC, Nat Genet 2016)	Whole exome and targeted sequencing of 34 plasmacytoid-variant (signet ring cell) tumors of the bladder
26	blca_tcga_pub_2017	Bladder Cancer (TCGA, Cell 2017)	Comprehensive analysis of muscle-invasive bladder cancers characterized by multiple TCGA analytical platforms.
27	blca_bgi	Bladder Urothelial Carcinoma (BGI, Nat Genet 2013)	Whole-exome and whole-genome sequencing of 99 bladder cancer tumor/normal pairs. Generated by BGI.
28	blca_dfarber_mskcc_2014	Bladder Urothelial Carcinoma (DFCI/MSKCC, Cancer Discov 2014)	Whole exome sequencing of tumor/normal samples from 50 patients treated with cisplatin-based chemotherapy for muscle invasive urothelial carcinoma.
